CODE;DESCRIP;SUPNO;DEPT;TAXIND;CPRICE;AVECOST;SPRICE;SPRICE1;SPRICE2;MUP;MUP1;MUP2;REORD;QOH;QSOLDM;QSOLDY;VSOLDM;VSOLDY;GPM;GPY;QTYBYSTOCK;SCOUNTFLAG;CLOSTOCK;DATELSOLD;DATELPURCH;LASTSUP;SPECSTDATE;SPECENDATE;SPPRICE1;SPPRICE2;SPPRICE3;BFWDQTY;BFWDVAL;QTYSORD;QTYPORD;QTYPURCHM;QTYPURCHY;NEWPR;NEWPR1;NEWPR2;NEWPRDATE;SELLQTY;SUPCODE;MAXDISC;WEIGHT;ALLOWNEGSL;BIN;JCBFWDVAL;LBBFWDVAL;RFBFWDVAL;PACK;KVI
185-642M;185-642M OPEL CORSA 2 DOOR 96-;162;12;1;192.6;173.0;643.28;643.28;173.0;234.0;234.0;-10.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;346.0;173.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;185-642M;0.0;0.0;Y;0;0.0;0.0;0.0;;
185-684M;185-684M OPEL CORSA UTILITY 1.;162;12;1;235.4;238.0;786.24;786.24;238.0;234.0;234.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;476.0;238.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;185-684M;0.0;0.0;Y;0;0.0;0.0;0.0;;
228-048M;228-048M TOYOTA HATCH 88-;162;12;1;252.35;243.0;842.85;842.85;243.0;234.0;234.0;-3.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;486.0;243.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;228-048M;0.0;0.0;Y;0;0.0;0.0;0.0;;
228-058M;228-058M TOYOTA 16V HATCH 88-;162;12;1;288.4;315.0;963.26;963.26;315.0;234.0;234.0;9.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;630.0;315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;228-058M;0.0;0.0;Y;0;0.0;0.0;0.0;;
228-090M;228-090M TOYOTA VENTURE 1.8 91;162;12;1;310.3;251.0;1036.4;1036.4;251.0;234.0;234.0;-19.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;502.0;251.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;228-090M;0.0;0.0;Y;0;0.0;0.0;0.0;;
228-104M;228-104M TOYOTA HI-ACE 92-;162;12;1;211.15;196.0;705.24;705.24;196.0;234.0;234.0;-7.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;392.0;196.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;228-104M;0.0;0.0;Y;0;0.0;0.0;0.0;;
228-116M;228-116M TOYOTA HI-ACE 84-;162;12;1;203.3;196.0;679.02;679.02;196.0;234.0;234.0;-3.59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;392.0;196.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;228-116M;0.0;0.0;Y;0;0.0;0.0;0.0;;
228-118M;228-118M TOYOTA HI-ACE 84-;162;12;1;256.8;243.0;857.71;857.71;243.0;234.0;234.0;-5.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;486.0;243.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;228-118M;0.0;0.0;Y;0;0.0;0.0;0.0;;
233-166M;233-166M VW GOLF/JETTA 11 85-;162;12;1;123.05;139.0;410.99;410.99;139.0;234.0;234.0;12.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;278.0;139.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;233-166M;0.0;0.0;Y;0;0.0;0.0;0.0;;
233-184M;233-184M VW GOLF/JETTA 11 85-;162;12;1;155.15;146.0;518.2;518.2;146.0;234.0;234.0;-5.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;292.0;146.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;233-184M;0.0;0.0;Y;0;0.0;0.0;0.0;;
233-226M;233-226M VW KOMBI 91-;162;12;1;327.42;234.0;1093.58;1093.58;234.0;234.0;234.0;-28.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;468.0;234.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;233-226M;0.0;0.0;Y;0;0.0;0.0;0.0;;
270-132M;270-132M TOYOTA COROLLA 84-88;162;12;1;246.1;196.0;821.97;821.97;196.0;234.0;234.0;-20.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;392.0;196.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;270-132M;0.0;0.0;Y;0;0.0;0.0;0.0;;
275-046M;275-046M TOYOTA SEDAN 88-;162;12;1;247.2;217.0;825.65;825.65;217.0;234.0;234.0;-12.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;434.0;217.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;275-046M;0.0;0.0;Y;0;0.0;0.0;0.0;;
275-056M;275-056M TOYOTA CONQUEST;162;12;1;190.55;196.0;636.44;636.44;196.0;234.0;234.0;2.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;392.0;196.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;275-056M;0.0;0.0;Y;0;0.0;0.0;0.0;;
